id,caminho_original,nome_original,extensao,nome_proposto,categoria,status_antes_da_execucao,sha256
072,Photos-3-001/unnamed (65).webp,unnamed (65).webp,webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-11.webp,05_CAMINHONETES,seguro_para_renomeacao,495C6131424032089E4BB45E764181C2702E6676956DE8137D3FDAA22C072386
073,Photos-3-001/unnamed (66).webp,unnamed (66).webp,webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-12.webp,05_CAMINHONETES,seguro_para_renomeacao,809680CBA3DB95DE1096C3C02BD2E682BCC745683F110CA6FB8373C406AC4467
074,Photos-3-001/unnamed (67).webp,unnamed (67).webp,webp,unnamed (67).webp,14_PEQUENAS_CARGAS,pendente_revisao,CA496F43B255C10FEE58930457615AC32FFE0A5849152060E8E5ECBD007CDA7E
075,Photos-3-001/unnamed (68).webp,unnamed (68).webp,webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-13.webp,05_CAMINHONETES,seguro_para_renomeacao,F023135B5BE70FE481C76E6872CE190E6AEBA153D911902D9389C7E4A08AA29A
076,Photos-3-001/unnamed (69).webp,unnamed (69).webp,webp,marcus-reboque-transporte-veiculo-especial-fortaleza-ce-03.webp,08_VEICULOS_ESPECIAIS,seguro_para_renomeacao,285E3F7F14A0E9B7D7BCDB76057794E074A8C386C048AE015F4EE90ED30F5FFF
077,Photos-3-001/unnamed (70).webp,unnamed (70).webp,webp,marcus-reboque-guincho-carro-fortaleza-ce-14.webp,04_CARROS,seguro_para_renomeacao,081921529AB536ECAE16AF14317456BC1743DB600AA72D499BCF7FE5BEC43BCA
078,Photos-3-001/unnamed (71).webp,unnamed (71).webp,webp,marcus-reboque-guincho-carro-fortaleza-ce-15.webp,04_CARROS,seguro_para_renomeacao,EF55E759C3694B4101A15DA4ABBDD738353C4B8B3613B41F4FBD65EE49AF8865
079,Photos-3-001/unnamed (72).webp,unnamed (72).webp,webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-14.webp,05_CAMINHONETES,seguro_para_renomeacao,36699B6AEDFE8BEF1350C8F23D54DBAC468B99AD6A1F26CF11C2CB027E138850
080,Photos-3-001/unnamed (73).webp,unnamed (73).webp,webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-15.webp,05_CAMINHONETES,seguro_para_renomeacao,F7075E340073481919E60ABB12EC8FBCEACDEC2FFB5BBFEAA26FA8E1BAFBBBED
081,Photos-3-001/unnamed (74).webp,unnamed (74).webp,webp,marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-04.webp,11_VEICULOS_ANTIGOS,seguro_para_renomeacao,21F0E5D343F09393878F78B06E6EA13904F60D92962B4E7C0C87F9BA010FDCA3
082,Photos-3-001/unnamed (75).webp,unnamed (75).webp,webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-16.webp,05_CAMINHONETES,seguro_para_renomeacao,C91A2D63DD3B07AF6F2ECEE1D158227F6F2D8725E4A7C6AF14C719CE07EE8993
083,Photos-3-001/unnamed.webp,unnamed.webp,webp,marcus-reboque-guincho-carro-fortaleza-ce-16.webp,04_CARROS,seguro_para_renomeacao,247CBF38742E9CFF11B588A3A2B36FF4E51EC228D16C6F7452564AABCE563704
